"","ACEPEN","ACERUB","ACESAC","ALNINC","BETALL","BETPAP","CORALT","CORCOR","FAGGRA","ILEMUC","POPGRA","PRUPEN","QUERUB","SORAME","VIBLAN"
"ACEPEN08_SH",1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
"ACEPEN201601_SH",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACEPEN201602_SH",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"ACEPEN201603_SH",1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"ACEPEN201604_SH",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ACEPEN201605_SH",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"BETPAP201601_SH",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
"BETPAP201602_SH",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BETPAP201603_SH",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"BETPAP201604_SH",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"BETPAP201605_SH",1,1,0,0,0,1,0,1,1,0,0,0,1,0,0
"BETPAP201606_SH",1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
"CORALT01_SH",1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
"CORALT02_SH",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"CORALT03_SH",1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
"CORALT07_SH",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"CORALT201601_SH",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"CORALT201602_SH",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"CORALT201603_SH",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
"CORALT22_SH",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"FAGGRA04_SH",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"FAGGRA06_SH",1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"FAGGRA201601_SH",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"FAGGRA201602_SH",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
"FAGGRA201603_SH",1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
"SORAME03_SH",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"SORAME201601_SH",1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"SORAME201602_SH",1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"SORAME201603_SH",0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
"SORAME201604_SH",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"SORAME99_SH",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
